record_id,classification,valid_structure,n_points,n_timestamps,invalid_timestamps,invalid_coordinates,negative_dt,zero_dt,positive_dt,same_time_different_position,consecutive_duplicate_position,long_gap_gt_30_source_seconds,edges_total,dt_computable,position_pairs_computable,time_span_raw,dt_min_raw,dt_max_raw,issues
0,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,78,0,98,98,98,1186,1.0,21.0,
1,CURRENT_RUN_REAL_DATA,True,97,97,0,0,0,0,96,0,76,0,96,96,96,1188,8.0,30.0,
2,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,82,0,98,98,98,1190,9.0,20.0,
3,CURRENT_RUN_REAL_DATA,True,103,103,0,0,0,2,100,0,76,1,102,102,102,1192,0.0,32.0,
4,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,81,0,99,99,99,1195,1.0,22.0,
5,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,79,0,98,98,98,1190,7.0,30.0,
6,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,79,1,98,98,98,1189,6.0,31.0,
7,CURRENT_RUN_REAL_DATA,True,91,91,0,0,0,1,89,1,0,4,90,90,90,1190,0.0,79.0,
8,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,79,0,99,99,99,1191,2.0,24.0,
9,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,1,98,1,79,0,99,99,99,1195,0.0,21.0,
10,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,0,0,97,97,97,1195,10.0,30.0,
11,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,78,0,97,97,97,1182,9.0,21.0,
12,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,80,0,99,99,99,1190,3.0,21.0,
13,CURRENT_RUN_REAL_DATA,True,97,97,0,0,0,3,93,0,78,2,96,96,96,1191,0.0,39.0,
14,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,1,98,0,79,0,99,99,99,1189,0.0,23.0,
15,CURRENT_RUN_REAL_DATA,True,96,96,0,0,0,0,95,0,76,1,95,95,95,1186,9.0,40.0,
16,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,78,0,98,98,98,1190,6.0,30.0,
17,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,79,0,98,98,98,1186,1.0,21.0,
18,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,7,90,1,80,2,97,97,97,1166,0.0,97.0,
19,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,78,0,98,98,98,1188,7.0,28.0,
20,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,76,0,98,98,98,1190,7.0,30.0,
21,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,4,0,99,99,99,1189,1.0,22.0,
22,CURRENT_RUN_REAL_DATA,True,102,102,0,0,0,0,101,0,53,0,101,101,101,1188,1.0,30.0,
23,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,79,0,99,99,99,1190,5.0,20.0,
24,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,1,98,0,81,0,99,99,99,1194,0.0,21.0,
25,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,80,0,98,98,98,1189,7.0,23.0,
26,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,0,0,99,99,99,1191,3.0,20.0,
27,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,81,0,98,98,98,1191,8.0,21.0,
28,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,79,0,99,99,99,1191,1.0,20.0,
29,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,78,0,97,97,97,1186,7.0,21.0,
30,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,0,0,98,98,98,1186,1.0,21.0,
31,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,0,100,0,75,0,100,100,100,1164,1.0,21.0,
32,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,3,96,0,81,1,99,99,99,1191,0.0,56.0,
33,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,2,0,98,98,98,1190,3.0,30.0,
34,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,79,0,98,98,98,1192,10.0,20.0,
35,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,2,98,0,83,1,100,100,100,1191,0.0,38.0,
36,CURRENT_RUN_REAL_DATA,True,97,97,0,0,0,0,96,0,77,1,96,96,96,1193,2.0,50.0,
37,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,82,0,98,98,98,1188,7.0,28.0,
38,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,1,0,97,97,97,1187,5.0,30.0,
39,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,80,0,99,99,99,1191,4.0,20.0,
40,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,79,0,98,98,98,1192,1.0,30.0,
41,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,80,0,99,99,99,1190,4.0,20.0,
42,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,80,0,98,98,98,1189,7.0,28.0,
43,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,76,0,97,97,97,1191,9.0,29.0,
44,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,78,0,97,97,97,1195,10.0,30.0,
45,CURRENT_RUN_REAL_DATA,True,65,65,0,0,0,0,64,0,44,0,64,64,64,771,7.0,22.0,
46,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,24,0,97,97,97,1193,9.0,30.0,
47,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,3,95,0,80,1,98,98,98,1188,0.0,51.0,
